experience_years,customer_rating,trip_frequency,earning_history,on_time_arrival_rate,driving_behaviour_score,cancellation_rate,transaction_pattern_Digital,transaction_pattern_Mixed,gender_Male,gender_Other,region_Semi-Urban,region_Urban,age_group_26-35,age_group_36-45,age_group_46-60,age_group_60+
17,5.295,338,71747.72,89.03,89.1,-6.61,False,True,True,False,True,False,False,False,False,False
8,4.01,202,90315.69,81.38,85.71,2.4400000000000004,True,False,True,False,False,True,True,False,False,False
20,4.56,267,61288.8,87.75,79.55,-4.05,True,False,True,False,False,True,False,False,False,False
1,4.035,214,37536.23,92.92,74.18,1.69,True,False,False,False,False,True,False,False,False,False
19,5.345,370,45215.979999999996,91.45,88.19,-6.32,False,False,True,False,False,True,True,False,False,False
14,4.42,440,85915.08,93.83,71.61,-1.25,False,True,True,False,True,False,True,False,False,False
6,4.970000000000001,186,33421.520000000004,95.24,78.85,0.43000000000000016,False,True,False,False,False,True,False,False,True,False
11,4.635000000000001,171,67843.66,92.92,86.45,0.4500000000000002,False,False,True,False,True,False,True,False,False,False
7,5.175,412,59830.77,84.49,72.74,1.6100000000000003,False,False,True,False,True,False,True,False,False,False
14,4.8999999999999995,264,55882.24,85.05,96.89,-4.09,True,False,False,False,False,False,True,False,False,False
2,4.9799999999999995,242,49604.72,88.65,78.22,1.21,False,False,False,False,True,False,False,True,False,False
13,5.005,188,64739.55,87.57,71.54,0.08999999999999986,True,False,False,False,False,True,False,True,False,False
16,4.720000000000001,233,61369.87,93.34,85.74,-2.8099999999999996,False,True,True,False,False,True,True,False,False,False
3,4.565,369,56002.19,92.95,79.38,4.11,False,True,True,False,False,True,False,True,False,False
17,4.925,322,59435.87,80.49,66.76,-2.24,False,False,False,False,False,False,True,False,False,False
7,4.495,185,56795.09,91.51,60.67,2.8099999999999996,True,False,True,False,False,True,False,True,False,False
3,4.9350000000000005,103,50637.89,91.74,75.0,0.010000000000000009,False,True,True,False,False,False,True,False,False,False
1,5.025,112,26348.46,96.75,84.74,2.49,True,False,False,False,False,True,False,True,False,False
5,4.675,55,87013.95,96.71,89.99,3.45,True,False,True,False,True,False,True,False,False,False
9,5.015,483,60634.61,96.28,73.75,1.3600000000000003,False,True,False,False,False,True,False,False,True,False
3,4.785,121,54002.78,85.63,58.88,0.9199999999999999,True,False,True,False,False,True,False,False,False,False
17,3.885,197,89144.34,91.5,81.81,-1.0899999999999999,True,False,True,False,False,True,False,False,True,False
11,4.9750000000000005,325,63666.93,91.68,78.28,-2.93,False,True,True,False,True,False,True,False,False,False
1,4.705,390,78624.12,84.02,78.05,4.15,True,False,True,False,False,True,True,False,False,False
9,4.225,312,86908.67,92.73,93.16,2.45,False,False,True,False,True,False,False,True,False,False
3,3.855,219,57391.62,91.83,82.06,5.31,False,True,False,False,True,False,True,False,False,False
13,4.995,405,88398.38,87.95,81.0,-2.98,False,False,False,False,True,False,True,False,False,False
15,5.375,440,81929.68,93.89,74.13,-2.2199999999999998,True,False,False,False,False,True,True,False,False,False
14,4.699999999999999,158,92624.1,89.42,70.8,4.279999999999999,False,True,True,False,True,False,False,True,False,False
7,4.545,330,86279.47,81.1,82.23,-2.58,False,False,True,False,False,True,True,False,False,False
13,5.325,147,49220.39,91.72,97.66,-1.5099999999999998,True,False,False,False,True,False,True,False,False,False
7,5.035,314,52076.34,81.96,97.2,-0.33999999999999986,True,False,True,False,False,False,True,False,False,False
20,4.51,195,62359.76,94.16,83.65,-7.84,True,False,True,False,True,False,False,False,False,False
15,4.585,51,55923.86,78.67,81.4,-0.6299999999999999,False,False,True,False,False,False,True,False,False,False
12,5.3,428,69040.28,85.34,81.02,0.05999999999999961,True,False,True,False,True,False,True,False,False,False
17,4.655,435,61730.07,91.21,83.56,0.019999999999999574,True,False,True,False,False,True,False,False,False,True
14,4.64,406,79230.59,95.0,85.26,-0.4800000000000004,True,False,False,False,True,False,False,False,False,True
20,5.27,78,69439.41,91.45,72.11,-4.56,True,False,True,False,True,False,True,False,False,False
12,4.6899999999999995,430,65469.74,88.17,70.66,-1.4500000000000002,True,False,True,False,False,True,True,False,False,False
8,4.88,231,61246.97,87.44,88.42,2.7300000000000004,True,False,False,False,True,False,False,True,False,False
14,4.97,91,44161.520000000004,94.0,100.0,-0.45999999999999996,False,False,False,False,False,False,False,True,False,False
12,4.74,422,62550.61,93.43,53.34,-1.8899999999999997,True,False,True,False,True,False,True,False,False,False
0,4.98,424,39586.38,83.09,71.66,2.4,False,True,False,False,True,False,False,False,False,True
6,4.140000000000001,467,70608.76000000001,79.94,80.3,-1.7,False,True,False,False,False,True,False,False,False,True
8,4.75,186,60824.63,87.43,79.99,1.8200000000000003,False,False,True,False,False,True,False,True,False,False
0,4.27,186,46231.48,100.0,89.72,6.19,True,False,False,False,True,False,False,False,False,False
11,5.275,408,37008.41,93.85,95.15,-2.15,False,False,True,False,True,False,True,False,False,False
7,4.6049999999999995,466,29143.81,80.15,98.0,1.1500000000000004,False,False,True,False,True,False,False,False,True,False
10,5.25,107,67319.61,99.1,73.04,2.71,False,True,False,False,True,False,False,True,False,False
18,4.78,142,71734.64,96.58,84.63,-5.73,False,False,True,False,True,False,True,False,False,False
16,4.94,149,93083.37,88.85,75.41,-4.34,False,False,True,False,True,False,False,True,False,False
7,5.115,146,39836.01,94.08,96.39,3.26,False,True,True,False,False,True,True,False,False,False
2,4.17,306,58301.24,91.89,75.27,6.3,True,False,True,False,False,True,False,False,False,True
2,5.05,237,61820.74,97.68,56.27,3.3200000000000003,True,False,False,False,False,True,True,False,False,False
0,4.51,241,38750.88,80.83,83.23,5.28,True,False,True,False,False,True,True,False,False,False
4,4.76,179,71179.28,92.97,73.94,1.98,True,False,True,False,True,False,False,True,False,False
9,4.944999999999999,173,35251.8,86.34,89.88,2.8600000000000003,True,False,True,False,True,False,True,False,False,False
6,4.62,159,65330.93,95.72,74.49,2.84,False,False,True,False,False,False,False,False,True,False
8,4.38,120,28088.7,88.79,66.3,0.13999999999999968,True,False,True,False,True,False,False,False,True,False
6,4.69,181,64294.47,89.58,64.03,3.2,False,True,False,False,False,True,True,False,False,False
8,3.9000000000000004,409,61763.56,93.78,80.94,0.7999999999999998,False,True,True,False,True,False,True,False,False,False
7,4.155,271,63332.31,87.52,83.44,4.05,False,False,True,False,False,False,False,False,False,True
11,4.715000000000001,157,74084.86,87.17,76.53,-3.09,False,False,True,False,True,False,False,False,True,False
1,5.025,287,62752.21,86.31,87.66,0.45999999999999996,False,False,True,False,True,False,True,False,False,False
0,5.0,184,43925.22,89.77,91.49,3.86,False,True,True,False,False,False,False,True,False,False
15,5.265,403,79998.8,78.58,69.04,-4.32,True,False,False,False,False,True,True,False,False,False
4,3.98,377,58258.97,92.92,83.32,2.17,True,False,False,False,False,True,False,False,False,True
2,4.67,477,57154.56,93.44,72.06,5.25,False,True,True,False,False,True,False,False,True,False
11,4.4350000000000005,481,60529.35,87.28,71.81,-2.12,True,False,False,False,False,False,True,False,False,False
7,4.645,490,39248.520000000004,84.77,71.39,0.2400000000000002,False,False,False,False,True,False,False,False,True,False
2,4.93,327,49035.77,86.28,70.83,6.54,False,True,False,False,False,True,False,True,False,False
0,4.76,68,40742.42,95.02,73.85,8.04,False,False,True,False,False,False,False,False,False,False
2,5.05,322,55637.26,86.32,100.0,6.4,False,False,True,False,False,True,False,True,False,False
4,4.04,238,63687.43,90.46,98.5,3.4800000000000004,False,False,False,False,False,True,True,False,False,False
14,4.4399999999999995,142,61913.81,81.7,82.28,4.140000000000001,False,False,False,False,False,True,True,False,False,False
13,5.325,138,33000.0,86.23,80.78,-2.52,True,False,True,False,False,True,True,False,False,False
2,5.05,286,22599.55,99.58,84.03,5.47,False,True,True,False,False,True,False,False,False,False
0,4.49,93,60483.18,90.24,87.46,5.32,True,False,True,False,True,False,False,True,False,False
4,4.59,290,60548.23,85.05,75.45,3.2800000000000002,True,False,False,True,False,True,False,False,True,False
13,5.295,126,75756.26999999999,94.32,92.19,-1.1500000000000004,False,False,False,False,False,False,True,False,False,False
6,4.86,491,35027.34,76.77,67.83,-3.0,False,True,True,False,False,True,False,False,True,False
8,4.94,59,55115.71,96.11,61.27,4.710000000000001,False,False,False,False,False,False,True,False,False,False
14,4.4799999999999995,117,53511.26,83.74,75.22,-2.7,False,False,True,False,False,True,True,False,False,False
14,5.31,379,58749.9,90.53,87.62,-4.08,False,False,False,False,False,True,False,False,False,False
9,4.645,295,58223.7,78.68,90.95,-0.1299999999999999,False,False,False,False,True,False,True,False,False,False
12,4.24,123,81674.68,94.14,62.32,0.16000000000000014,True,False,True,False,False,True,False,False,False,False
18,4.640000000000001,385,70550.57,92.5,87.04,-2.63,False,False,True,False,False,True,False,True,False,False
6,4.41,385,34551.15,84.58,69.63,5.029999999999999,False,True,True,False,False,False,False,False,True,False
16,5.4,54,50014.44,90.17,84.48,-2.5700000000000003,False,False,True,False,True,False,True,False,False,False
19,4.694999999999999,357,89532.18,92.16,72.26,-5.0,True,False,True,False,False,True,False,False,False,False
3,4.7250000000000005,81,55340.92,77.98,75.2,1.54,False,False,False,False,False,True,False,True,False,False
4,3.7600000000000002,320,32633.87,82.28,69.91,2.9000000000000004,True,False,True,False,False,True,True,False,False,False
6,5.0200000000000005,162,26000.0,100.0,59.56,-2.1,False,True,True,False,False,True,False,False,False,False
12,4.4799999999999995,474,59526.72,86.19,71.82,-0.46999999999999975,True,False,True,False,False,False,True,False,False,False
14,5.01,156,54723.26,95.21,73.81,-3.49,False,False,True,False,False,False,True,False,False,False
10,4.91,201,51252.36,87.63,75.02,1.9400000000000004,False,True,True,False,True,False,False,False,False,False
3,4.825,63,76997.24,85.38,68.87,1.2599999999999998,True,False,True,False,False,False,False,True,False,False
12,4.93,374,56145.48,85.83,79.71,-6.0,True,False,True,False,True,False,False,False,False,False
6,5.15,157,45242.11,90.27,86.56,2.38,False,False,False,False,True,False,True,False,False,False
18,5.03,471,58536.8,93.53,76.92,-5.99,True,False,False,False,False,False,False,True,False,False
1,5.025,361,46415.53,93.81,69.84,8.66,True,False,False,False,False,False,False,False,False,True
9,4.984999999999999,210,61825.69,95.42,82.76,0.6200000000000001,False,False,False,False,False,False,True,False,False,False
12,4.91,460,62994.63,90.48,85.85,-0.1200000000000001,False,False,True,False,False,False,False,True,False,False
20,5.36,289,73498.32,94.6,86.41,-6.859999999999999,True,False,False,False,False,True,False,False,False,False
5,4.705,109,45478.46,82.12,99.63,4.79,False,False,False,True,False,True,False,False,True,False
11,4.955,363,96765.36,91.99,79.94,1.9299999999999997,True,False,True,False,False,True,False,False,False,True
11,4.915,135,51478.48,100.0,93.33,0.9900000000000002,True,False,True,False,False,True,True,False,False,False
19,5.074999999999999,319,60760.06,91.2,76.13,-4.02,True,False,True,False,False,True,False,False,True,False
10,5.25,386,71502.48999999999,87.34,82.22,1.3200000000000003,True,False,False,False,False,True,False,True,False,False
6,5.15,211,55528.12,85.68,94.65,1.13,False,True,True,False,False,True,True,False,False,False
0,4.63,253,37842.06,91.78,96.04,3.36,False,False,True,False,False,True,False,False,True,False
0,5.0,395,41300.56,83.04,74.53,4.69,True,False,True,False,True,False,False,False,False,True
19,5.455,304,53165.22,82.93,61.76,-0.6300000000000008,True,False,True,False,False,False,False,False,True,False
12,5.24,285,79309.18,90.24,75.99,-4.68,True,False,True,False,True,False,True,False,False,False
8,4.92,263,54458.27,93.83,66.45,2.0599999999999996,True,False,True,False,False,True,False,True,False,False
2,4.819999999999999,99,31349.57,93.76,89.69,4.63,False,False,True,False,True,False,False,True,False,False
6,4.880000000000001,409,73835.35,88.83,79.32,0.2999999999999998,True,False,True,False,False,False,True,False,False,False
5,4.335,186,54953.43,88.87,82.33,2.2,True,False,False,True,False,True,True,False,False,False
7,4.645,480,54578.67,87.12,100.0,0.2999999999999998,True,False,True,False,False,True,False,False,True,False
8,4.22,392,50955.31,92.79,67.72,-0.6400000000000001,True,False,True,False,False,False,False,False,True,False
4,4.83,312,73592.09,91.47,75.61,3.7699999999999996,True,False,True,False,False,False,False,True,False,False
0,4.67,279,38565.3,94.95,78.55,3.97,True,False,False,False,True,False,True,False,False,False
18,5.23,418,52697.58,85.59,78.49,-4.15,True,False,True,False,False,True,True,False,False,False
9,4.415,399,43132.06,85.56,87.51,0.4800000000000004,True,False,False,False,True,False,False,True,False,False
11,5.165,215,71750.82,93.06,71.32,-1.33,False,True,True,False,False,True,False,False,False,False
14,5.04,413,65897.93,98.66,84.59,-2.8099999999999996,False,False,True,False,True,False,False,False,False,False
8,5.2,113,59578.19,86.95,76.26,0.79,True,False,True,False,True,False,True,False,False,False
19,5.295,303,90779.73,91.72,85.15,-7.359999999999999,True,False,True,False,False,True,False,True,False,False
16,4.66,338,47460.82,82.85,75.71,-4.92,False,True,False,False,False,True,True,False,False,False
16,4.36,80,56653.3,85.77,92.57,-4.79,False,False,False,False,True,False,True,False,False,False
19,5.0649999999999995,484,66825.83,86.94,80.9,-5.28,False,False,True,False,False,True,False,True,False,False
11,4.365,481,43403.47,94.19,82.85,-3.94,False,True,True,False,False,True,False,True,False,False
6,4.36,187,57300.95,87.33,78.68,-1.15,True,False,True,False,True,False,False,False,False,False
1,4.135000000000001,176,31175.98,85.21,88.6,6.85,False,True,False,True,False,True,False,False,True,False
2,4.319999999999999,481,64415.33,91.07,63.89,5.59,True,False,True,False,False,False,False,True,False,False
16,5.4,392,58632.84,78.12,77.0,-4.12,True,False,True,False,False,False,False,False,True,False
4,4.21,488,43780.35,90.28,84.28,1.98,True,False,False,False,False,True,False,True,False,False
16,4.73,269,65557.05,91.9,82.98,-4.8100000000000005,True,False,True,False,False,True,True,False,False,False
16,4.33,423,62453.78,86.85,87.47,-1.96,True,False,True,False,False,True,False,True,False,False
16,4.22,464,71245.33,91.99,75.95,-4.96,True,False,True,False,False,True,True,False,False,False
1,4.415,420,54161.56,95.74,72.06,4.53,False,True,True,False,True,False,False,False,False,True
1,4.605,60,50700.61,90.99,79.64,3.9000000000000004,True,False,True,False,False,True,True,False,False,False
4,4.14,108,57847.69,100.0,74.42,5.69,False,False,True,False,False,True,False,False,False,False
0,3.89,65,40860.58,98.61,83.77,2.98,False,False,True,False,True,False,False,False,False,False
0,3.75,388,79446.14,84.18,82.99,5.9,False,True,True,False,False,True,False,True,False,False
18,5.01,276,88950.25,85.48,74.64,-4.0,True,False,True,False,True,False,False,True,False,False
1,4.8950000000000005,327,56675.01,87.61,83.02,7.3,False,False,True,False,False,False,False,False,False,True
20,4.43,112,73543.53,98.69,73.37,-5.36,True,False,False,False,False,True,False,False,False,True
11,4.515000000000001,177,41802.43,86.62,75.34,1.6900000000000004,True,False,False,False,True,False,False,False,False,False
5,5.055,76,54886.73,97.99,97.42,0.98,True,False,True,False,False,True,True,False,False,False
3,4.485,424,102641.36,96.47,74.23,3.26,True,False,True,False,False,False,True,False,False,False
10,4.71,112,57687.78,91.78,92.49,-0.9100000000000001,True,False,True,False,True,False,True,False,False,False
16,5.050000000000001,320,63745.6,88.51,84.7,-5.8,False,True,True,False,True,False,False,True,False,False
5,4.445,166,50467.85,90.33,68.24,6.380000000000001,False,False,True,False,False,False,True,False,False,False
4,4.29,194,38530.52,96.84,86.95,5.11,True,False,False,False,True,False,True,False,False,False
19,5.095,221,97840.96,100.0,69.89,-4.25,True,False,True,False,False,False,False,True,False,False
1,3.975,302,43336.47,88.01,98.77,6.5,True,False,True,False,True,False,True,False,False,False
5,3.985,335,78225.2,81.72,78.58,2.1500000000000004,False,True,True,False,False,True,False,False,False,False
10,4.47,309,43768.59,78.47,99.62,3.8599999999999994,True,False,True,False,False,False,False,False,False,True
15,5.155,299,78407.23000000001,89.87,84.27,-2.91,True,False,True,False,False,True,True,False,False,False
15,5.335,367,45882.490000000005,83.18,77.52,-5.76,False,True,True,False,False,True,False,True,False,False
0,4.31,120,28360.41,82.46,73.1,6.52,False,True,True,False,True,False,True,False,False,False
8,5.03,220,45133.82,90.55,79.11,-0.27,True,False,True,False,False,True,True,False,False,False
5,5.125,486,71787.29,92.91,80.56,1.17,False,False,True,False,False,True,False,True,False,False
15,4.895,180,63296.23,89.08,78.26,-1.25,False,True,True,False,False,True,True,False,False,False
2,4.8,358,53353.36,80.02,62.82,4.03,True,False,True,False,False,True,False,False,True,False
19,5.475,456,39000.0,95.8,82.79,-1.83,False,False,False,False,True,False,True,False,False,False
3,4.295,225,37085.48,91.6,73.9,3.13,True,False,False,False,False,False,False,False,True,False
18,4.8500000000000005,435,38000.0,89.5,76.71,-5.470000000000001,False,False,True,False,True,False,False,True,False,False
2,5.05,228,60048.2,96.12,96.35,3.24,False,True,False,False,False,False,True,False,False,False
18,4.57,150,75874.55,88.31,85.36,-6.24,False,True,True,False,True,False,False,True,False,False
19,5.034999999999999,458,72356.67,96.54,86.54,-5.1,False,True,True,False,True,False,False,True,False,False
6,4.4,491,66457.0,83.54,85.02,0.4900000000000002,True,False,True,False,True,False,False,False,False,True
19,5.475,383,50861.89,86.0,80.94,-7.26,True,False,True,False,False,False,True,False,False,False
8,4.23,330,71458.01000000001,96.03,72.46,-0.8300000000000001,True,False,True,False,False,False,False,True,False,False
0,4.47,403,66081.31,88.95,80.82,7.83,True,False,False,False,False,True,True,False,False,False
7,4.255,261,31886.37,89.12,99.48,2.26,False,False,True,False,True,False,False,False,False,False
6,4.0600000000000005,442,57772.44,91.96,68.72,2.41,False,True,True,False,False,True,False,False,False,False
17,4.165,118,88244.8,89.07,89.84,-4.27,True,False,True,False,False,True,False,False,True,False
7,4.6049999999999995,437,60741.75,84.95,91.08,0.7800000000000002,True,False,False,False,False,False,False,False,False,False
0,4.69,112,46546.48,91.93,76.3,3.05,True,False,True,False,False,True,False,True,False,False
10,4.76,436,41934.18,91.05,89.88,1.33,False,True,True,False,False,True,True,False,False,False
17,5.015,248,64538.08,88.43,82.03,-1.2699999999999996,True,False,True,False,False,False,False,True,False,False
9,4.555,165,80841.01,99.05,93.5,3.24,False,False,True,False,False,False,False,False,False,False
2,4.9399999999999995,450,64161.71,96.25,61.01,4.48,False,False,False,True,True,False,False,False,True,False
6,4.94,313,80008.67,82.91,70.82,4.37,False,True,False,False,True,False,False,False,True,False
15,4.925,183,56165.88,82.37,70.88,-3.64,False,False,False,False,False,True,False,True,False,False
15,4.955,134,72046.7,90.77,87.02,-0.20999999999999996,False,False,True,False,True,False,False,True,False,False
19,4.784999999999999,275,39000.0,89.73,61.87,-8.53,True,False,False,False,False,True,False,False,True,False
16,5.4,52,63805.8,90.06,87.62,-3.0199999999999996,True,False,True,False,False,False,False,True,False,False
1,4.845000000000001,429,50180.63,87.78,79.56,6.15,True,False,True,False,False,True,False,True,False,False
0,4.46,80,90616.87,92.49,80.96,3.73,False,False,False,False,False,False,False,False,False,False
15,4.805,471,64456.66,84.93,64.17,-1.8399999999999999,False,True,False,False,False,True,False,True,False,False
11,4.615,370,62716.74,85.55,85.65,0.8799999999999999,True,False,True,False,True,False,False,True,False,False
4,4.4799999999999995,265,39668.54,89.52,81.92,1.7999999999999998,False,False,False,False,True,False,True,False,False,False
4,4.699999999999999,499,54747.42,89.08,82.85,3.2699999999999996,False,True,True,False,False,True,False,False,False,False
8,4.02,99,83424.23,87.99,76.14,0.9800000000000004,True,False,True,False,False,False,False,True,False,False
8,4.6000000000000005,65,58253.52,83.88,77.35,2.9800000000000004,True,False,False,False,True,False,False,True,False,False
2,4.5,338,60169.97,93.37,77.17,1.2799999999999998,False,True,False,False,True,False,False,False,True,False
18,4.95,431,72465.62,92.07,79.98,-4.57,False,True,True,False,True,False,False,False,True,False
15,4.945,69,40628.7,91.02,77.23,-1.4800000000000004,True,False,True,False,False,True,False,True,False,False
15,4.885,429,71961.05,94.91,84.53,-2.8200000000000003,True,False,True,False,True,False,False,False,False,False
2,4.71,469,47211.87,97.97,92.21,2.79,True,False,True,False,False,True,False,True,False,False
19,4.925,301,78043.51000000001,89.06,78.64,-4.81,False,False,False,False,False,True,True,False,False,False
0,4.9,438,38174.42,90.7,98.57,0.84,True,False,True,False,False,True,False,True,False,False
19,5.234999999999999,323,61696.93,93.1,73.23,-6.42,False,True,False,False,False,True,False,False,True,False
10,5.25,300,78873.55,89.97,99.59,-2.93,True,False,False,False,False,True,False,True,False,False
16,5.180000000000001,375,57908.36,88.83,62.1,-1.2699999999999996,False,False,False,False,False,True,False,True,False,False
7,4.375,153,62091.03,87.47,67.31,-1.37,False,False,True,False,False,False,False,True,False,False
3,4.515000000000001,356,56152.35,93.01,99.4,4.6,True,False,True,False,False,True,False,False,False,False
5,4.425,394,73120.59,80.45,85.8,4.2,False,False,False,False,False,False,True,False,False,False
7,4.675,223,54735.28,85.71,84.77,0.25,True,False,True,False,False,False,False,False,True,False
19,5.415,96,80926.83,92.38,71.8,-9.13,True,False,True,False,False,False,False,True,False,False
2,4.42,308,60703.68,97.47,68.49,1.8900000000000001,False,True,True,False,True,False,False,False,True,False
15,4.645,122,62341.49,95.0,78.79,-3.49,True,False,False,False,False,True,False,True,False,False
2,4.76,246,71468.11,78.29,85.48,1.02,False,False,True,False,True,False,False,True,False,False
17,4.595,57,69043.70999999999,96.46,82.51,-4.98,False,False,True,False,False,True,False,False,True,False
13,4.4750000000000005,444,78011.94,87.28,68.58,-4.49,True,False,False,False,False,False,False,False,True,False
17,5.075,177,55689.5,90.28,89.05,-1.8200000000000003,False,False,True,False,False,True,False,False,True,False
1,3.8049999999999997,247,79247.65,85.35,89.99,4.26,True,False,False,False,False,False,False,True,False,False
2,4.359999999999999,95,48775.22,95.88,82.29,9.65,False,False,False,False,True,False,False,False,True,False
15,5.215,158,86639.47,87.99,82.17,-5.109999999999999,False,True,True,False,False,True,True,False,False,False
8,3.97,87,79239.03,87.59,77.21,1.29,False,False,True,False,False,True,True,False,False,False
3,3.875,409,69243.22,83.64,92.96,4.88,True,False,True,False,True,False,True,False,False,False
0,3.93,103,51195.83,88.72,71.15,6.2,True,False,True,False,False,True,True,False,False,False
3,3.4850000000000003,132,40684.41,80.0,63.1,2.03,True,False,False,True,False,False,False,False,True,False
0,5.0,469,43842.47,90.92,78.13,3.34,True,False,True,False,False,False,True,False,False,False
13,4.875,157,80096.23,94.72,77.83,1.12,True,False,False,False,True,False,False,True,False,False
20,4.73,144,89653.87,92.42,76.08,-5.67,True,False,True,False,True,False,True,False,False,False
15,4.355,179,53432.77,88.54,62.04,-5.26,False,True,True,False,False,True,False,True,False,False
19,5.475,334,78466.5,95.63,79.5,-6.640000000000001,False,False,True,False,False,True,False,False,False,False
7,4.935,278,40304.99,90.84,81.81,-0.41000000000000014,False,True,True,False,True,False,False,False,False,False
6,4.6000000000000005,436,75313.78,80.88,77.48,4.59,True,False,True,False,False,True,False,False,True,False
2,5.04,224,61803.19,88.66,100.0,1.27,False,False,True,False,True,False,True,False,False,False
16,5.0600000000000005,382,83292.04,96.04,68.84,-2.9299999999999997,False,False,False,False,False,False,True,False,False,False
0,4.3,477,68980.14,97.52,83.51,6.98,False,False,True,False,False,False,False,False,False,False
15,4.635,402,50325.03,91.51,77.27,-1.5300000000000002,True,False,True,False,False,True,True,False,False,False
11,4.535,325,54054.09,97.53,64.89,-0.8099999999999996,False,False,True,False,False,True,False,True,False,False
18,4.54,211,63139.58,92.93,56.69,-3.1799999999999997,False,False,True,False,False,True,True,False,False,False
13,5.265000000000001,95,63251.62,90.58,64.56,-3.53,False,True,True,False,True,False,False,False,False,False
5,4.415,295,38483.57,99.23,78.79,0.7000000000000002,True,False,True,False,False,True,False,False,True,False
5,5.125,439,54121.08,85.49,78.69,2.4800000000000004,True,False,True,False,False,True,False,False,True,False
