driver_id,experience_years,customer_rating,trip_frequency,earning_history,on_time_arrival_rate,driving_behaviour_score,transaction_pattern,cancellation_rate,gender,region,age_group,nova_score
D00105,1,5.025,287,62752.21,86.31,87.66,Cash,0.45999999999999996,Male,Semi-Urban,26-35,178.89
D00106,0,5.0,184,43925.22,89.77,91.49,Mixed,3.86,Male,Rural,36-45,170.53
D00107,15,5.265,403,79998.8,78.58,69.04,Digital,-4.32,Female,Urban,26-35,189.89
D00108,4,3.98,377,58258.97,92.92,83.32,Digital,2.17,Female,Urban,60+,155.58
D00109,2,4.67,477,57154.56,93.44,72.06,Mixed,5.25,Male,Urban,46-60,174.94
D00110,11,4.4350000000000005,481,60529.35,87.28,71.81,Digital,-2.12,Female,Rural,26-35,169.11
D00111,7,4.645,490,39248.520000000004,84.77,71.39,Cash,0.2400000000000002,Female,Semi-Urban,46-60,168.96
D00112,2,4.93,327,49035.77,86.28,70.83,Mixed,6.54,Female,Urban,36-45,172.16
D00113,0,4.76,68,40742.42,95.02,73.85,Cash,8.04,Male,Rural,18-25,157.24
D00114,2,5.05,322,55637.26,86.32,100.0,Cash,6.4,Male,Urban,36-45,180.99
D00115,4,4.04,238,63687.43,90.46,98.5,Cash,3.4800000000000004,Female,Urban,26-35,154.79
D00116,14,4.4399999999999995,142,61913.81,81.7,82.28,Cash,4.140000000000001,Female,Urban,26-35,156.76
D00117,13,5.325,138,33000.0,86.23,80.78,Digital,-2.52,Male,Urban,26-35,171.95
D00118,2,5.05,286,22599.55,99.58,84.03,Mixed,5.47,Male,Urban,18-25,170.88
D00119,0,4.49,93,60483.18,90.24,87.46,Digital,5.32,Male,Semi-Urban,36-45,157.75
D00120,4,4.59,290,60548.23,85.05,75.45,Digital,3.2800000000000002,Other,Urban,46-60,165.56
D00121,13,5.295,126,75756.26999999999,94.32,92.19,Cash,-1.1500000000000004,Female,Rural,26-35,184.33
D00122,6,4.86,491,35027.34,76.77,67.83,Mixed,-3.0,Male,Urban,46-60,171.59
D00123,8,4.94,59,55115.71,96.11,61.27,Cash,4.710000000000001,Female,Rural,26-35,163.25
D00124,14,4.4799999999999995,117,53511.26,83.74,75.22,Cash,-2.7,Male,Urban,26-35,153.9
D00125,14,5.31,379,58749.9,90.53,87.62,Cash,-4.08,Female,Urban,18-25,189.32
D00126,9,4.645,295,58223.7,78.68,90.95,Cash,-0.1299999999999999,Female,Semi-Urban,26-35,167.93
D00127,12,4.24,123,81674.68,94.14,62.32,Digital,0.16000000000000014,Male,Urban,18-25,154.81
D00128,18,4.640000000000001,385,70550.57,92.5,87.04,Cash,-2.63,Male,Urban,36-45,175.97
D00129,6,4.41,385,34551.15,84.58,69.63,Mixed,5.029999999999999,Male,Rural,46-60,157.42
D00130,16,5.4,54,50014.44,90.17,84.48,Cash,-2.5700000000000003,Male,Semi-Urban,26-35,175.86
D00131,19,4.694999999999999,357,89532.18,92.16,72.26,Digital,-5.0,Male,Urban,18-25,178.7
D00132,3,4.7250000000000005,81,55340.92,77.98,75.2,Cash,1.54,Female,Urban,36-45,158.18
D00133,4,3.7600000000000002,320,32633.87,82.28,69.91,Digital,2.9000000000000004,Male,Urban,26-35,137.79
D00134,6,5.0200000000000005,162,26000.0,100.0,59.56,Mixed,-2.1,Male,Urban,18-25,162.41
D00135,12,4.4799999999999995,474,59526.72,86.19,71.82,Digital,-0.46999999999999975,Male,Rural,26-35,169.54
D00136,14,5.01,156,54723.26,95.21,73.81,Cash,-3.49,Male,Rural,26-35,170.52
D00137,10,4.91,201,51252.36,87.63,75.02,Mixed,1.9400000000000004,Male,Semi-Urban,18-25,168.0
D00138,3,4.825,63,76997.24,85.38,68.87,Digital,1.2599999999999998,Male,Rural,36-45,165.53
D00139,12,4.93,374,56145.48,85.83,79.71,Digital,-6.0,Male,Semi-Urban,18-25,177.08
D00140,6,5.15,157,45242.11,90.27,86.56,Cash,2.38,Female,Semi-Urban,26-35,172.87
D00141,18,5.03,471,58536.8,93.53,76.92,Digital,-5.99,Female,Rural,36-45,184.79
D00142,1,5.025,361,46415.53,93.81,69.84,Digital,8.66,Female,Rural,60+,176.22
D00143,9,4.984999999999999,210,61825.69,95.42,82.76,Cash,0.6200000000000001,Female,Rural,26-35,175.21
D00144,12,4.91,460,62994.63,90.48,85.85,Cash,-0.1200000000000001,Male,Rural,36-45,183.35
D00145,20,5.36,289,73498.32,94.6,86.41,Digital,-6.859999999999999,Female,Urban,18-25,191.09
D00146,5,4.705,109,45478.46,82.12,99.63,Cash,4.79,Other,Urban,46-60,160.62
D00147,11,4.955,363,96765.36,91.99,79.94,Digital,1.9299999999999997,Male,Urban,60+,188.38
D00148,11,4.915,135,51478.48,100.0,93.33,Digital,0.9900000000000002,Male,Urban,26-35,170.14
D00149,19,5.074999999999999,319,60760.06,91.2,76.13,Digital,-4.02,Male,Urban,46-60,179.92
D00150,10,5.25,386,71502.48999999999,87.34,82.22,Digital,1.3200000000000003,Female,Urban,36-45,190.0
D00151,6,5.15,211,55528.12,85.68,94.65,Mixed,1.13,Male,Urban,26-35,178.12
D00152,0,4.63,253,37842.06,91.78,96.04,Cash,3.36,Male,Urban,46-60,163.5
D00153,0,5.0,395,41300.56,83.04,74.53,Digital,4.69,Male,Semi-Urban,60+,174.76
D00154,19,5.455,304,53165.22,82.93,61.76,Digital,-0.6300000000000008,Male,Rural,46-60,183.53
D00155,12,5.24,285,79309.18,90.24,75.99,Digital,-4.68,Male,Semi-Urban,26-35,187.16
D00156,8,4.92,263,54458.27,93.83,66.45,Digital,2.0599999999999996,Male,Urban,36-45,171.18
D00157,2,4.819999999999999,99,31349.57,93.76,89.69,Cash,4.63,Male,Semi-Urban,36-45,159.81
D00158,6,4.880000000000001,409,73835.35,88.83,79.32,Digital,0.2999999999999998,Male,Rural,26-35,182.04
D00159,5,4.335,186,54953.43,88.87,82.33,Digital,2.2,Other,Urban,26-35,155.23
D00160,7,4.645,480,54578.67,87.12,100.0,Digital,0.2999999999999998,Male,Urban,46-60,177.04
D00161,8,4.22,392,50955.31,92.79,67.72,Digital,-0.6400000000000001,Male,Rural,46-60,158.0
D00162,4,4.83,312,73592.09,91.47,75.61,Digital,3.7699999999999996,Male,Rural,36-45,176.69
D00163,0,4.67,279,38565.3,94.95,78.55,Digital,3.97,Female,Semi-Urban,26-35,163.58
D00164,18,5.23,418,52697.58,85.59,78.49,Digital,-4.15,Male,Urban,26-35,185.26
D00165,9,4.415,399,43132.06,85.56,87.51,Digital,0.4800000000000004,Female,Semi-Urban,36-45,163.08
D00166,11,5.165,215,71750.82,93.06,71.32,Mixed,-1.33,Male,Urban,18-25,180.32
D00167,14,5.04,413,65897.93,98.66,84.59,Cash,-2.8099999999999996,Male,Semi-Urban,18-25,186.48
D00168,8,5.2,113,59578.19,86.95,76.26,Digital,0.79,Male,Semi-Urban,26-35,173.9
D00169,19,5.295,303,90779.73,91.72,85.15,Digital,-7.359999999999999,Male,Urban,36-45,193.72
D00170,16,4.66,338,47460.82,82.85,75.71,Mixed,-4.92,Female,Urban,26-35,165.67
D00171,16,4.36,80,56653.3,85.77,92.57,Cash,-4.79,Female,Semi-Urban,26-35,153.11
D00172,19,5.0649999999999995,484,66825.83,86.94,80.9,Cash,-5.28,Male,Urban,36-45,187.87
D00173,11,4.365,481,43403.47,94.19,82.85,Mixed,-3.94,Male,Urban,36-45,165.77
D00174,6,4.36,187,57300.95,87.33,78.68,Digital,-1.15,Male,Semi-Urban,18-25,155.71
D00175,1,4.135000000000001,176,31175.98,85.21,88.6,Mixed,6.85,Other,Urban,46-60,144.28
D00176,2,4.319999999999999,481,64415.33,91.07,63.89,Digital,5.59,Male,Rural,36-45,166.59
D00177,16,5.4,392,58632.84,78.12,77.0,Digital,-4.12,Male,Rural,46-60,188.61
D00178,4,4.21,488,43780.35,90.28,84.28,Digital,1.98,Female,Urban,36-45,161.9
D00179,16,4.73,269,65557.05,91.9,82.98,Digital,-4.8100000000000005,Male,Urban,26-35,171.63
D00180,16,4.33,423,62453.78,86.85,87.47,Digital,-1.96,Male,Urban,36-45,166.93
D00181,16,4.22,464,71245.33,91.99,75.95,Digital,-4.96,Male,Urban,26-35,167.06
D00182,1,4.415,420,54161.56,95.74,72.06,Mixed,4.53,Male,Semi-Urban,60+,165.89
D00183,1,4.605,60,50700.61,90.99,79.64,Digital,3.9000000000000004,Male,Urban,26-35,155.79
D00184,4,4.14,108,57847.69,100.0,74.42,Cash,5.69,Male,Urban,18-25,148.44
D00185,0,3.89,65,40860.58,98.61,83.77,Cash,2.98,Male,Semi-Urban,18-25,137.42
D00186,0,3.75,388,79446.14,84.18,82.99,Mixed,5.9,Male,Urban,36-45,154.21
D00187,18,5.01,276,88950.25,85.48,74.64,Digital,-4.0,Male,Semi-Urban,36-45,182.55
D00188,1,4.8950000000000005,327,56675.01,87.61,83.02,Cash,7.3,Male,Rural,60+,175.22
D00189,20,4.43,112,73543.53,98.69,73.37,Digital,-5.36,Female,Urban,60+,159.42
D00190,11,4.515000000000001,177,41802.43,86.62,75.34,Digital,1.6900000000000004,Female,Semi-Urban,18-25,154.7
D00191,5,5.055,76,54886.73,97.99,97.42,Digital,0.98,Male,Urban,26-35,172.45
D00192,3,4.485,424,102641.36,96.47,74.23,Digital,3.26,Male,Rural,26-35,180.35
D00193,10,4.71,112,57687.78,91.78,92.49,Digital,-0.9100000000000001,Male,Semi-Urban,26-35,164.29
D00194,16,5.050000000000001,320,63745.6,88.51,84.7,Mixed,-5.8,Male,Semi-Urban,36-45,180.97
D00195,5,4.445,166,50467.85,90.33,68.24,Cash,6.380000000000001,Male,Rural,26-35,154.17
D00196,4,4.29,194,38530.52,96.84,86.95,Digital,5.11,Female,Semi-Urban,26-35,152.21
D00197,19,5.095,221,97840.96,100.0,69.89,Digital,-4.25,Male,Rural,36-45,186.16
D00198,1,3.975,302,43336.47,88.01,98.77,Digital,6.5,Male,Semi-Urban,26-35,150.31
D00199,5,3.985,335,78225.2,81.72,78.58,Mixed,2.1500000000000004,Male,Urban,18-25,156.63
D00200,10,4.47,309,43768.59,78.47,99.62,Digital,3.8599999999999994,Male,Rural,60+,161.77
D00201,15,5.155,299,78407.23000000001,89.87,84.27,Digital,-2.91,Male,Urban,26-35,186.56
D00202,15,5.335,367,45882.490000000005,83.18,77.52,Mixed,-5.76,Male,Urban,36-45,183.63
D00203,0,4.31,120,28360.41,82.46,73.1,Mixed,6.52,Male,Semi-Urban,26-35,142.97
D00204,8,5.03,220,45133.82,90.55,79.11,Digital,-0.27,Male,Urban,26-35,171.28
D00205,5,5.125,486,71787.29,92.91,80.56,Cash,1.17,Male,Urban,36-45,191.53
D00206,15,4.895,180,63296.23,89.08,78.26,Mixed,-1.25,Male,Urban,26-35,170.5
D00207,2,4.8,358,53353.36,80.02,62.82,Digital,4.03,Male,Urban,46-60,169.08
D00208,19,5.475,456,39000.0,95.8,82.79,Cash,-1.83,Female,Semi-Urban,26-35,191.65
D00209,3,4.295,225,37085.48,91.6,73.9,Digital,3.13,Female,Rural,46-60,150.47
D00210,18,4.8500000000000005,435,38000.0,89.5,76.71,Cash,-5.470000000000001,Male,Semi-Urban,36-45,173.08
D00211,2,5.05,228,60048.2,96.12,96.35,Mixed,3.24,Female,Rural,26-35,179.25
D00212,18,4.57,150,75874.55,88.31,85.36,Mixed,-6.24,Male,Semi-Urban,36-45,165.27
D00213,19,5.034999999999999,458,72356.67,96.54,86.54,Mixed,-5.1,Male,Semi-Urban,36-45,189.75
D00214,6,4.4,491,66457.0,83.54,85.02,Digital,0.4900000000000002,Male,Semi-Urban,60+,171.54
D00215,19,5.475,383,50861.89,86.0,80.94,Digital,-7.26,Male,Rural,26-35,189.95
D00216,8,4.23,330,71458.01000000001,96.03,72.46,Digital,-0.8300000000000001,Male,Rural,36-45,162.09
D00217,0,4.47,403,66081.31,88.95,80.82,Digital,7.83,Female,Urban,26-35,169.86
D00218,7,4.255,261,31886.37,89.12,99.48,Cash,2.26,Male,Semi-Urban,18-25,153.08
D00219,6,4.0600000000000005,442,57772.44,91.96,68.72,Mixed,2.41,Male,Urban,18-25,157.73
D00220,17,4.165,118,88244.8,89.07,89.84,Digital,-4.27,Male,Urban,46-60,157.74
D00221,7,4.6049999999999995,437,60741.75,84.95,91.08,Digital,0.7800000000000002,Female,Rural,18-25,174.19
D00222,0,4.69,112,46546.48,91.93,76.3,Digital,3.05,Male,Urban,36-45,158.6
D00223,10,4.76,436,41934.18,91.05,89.88,Mixed,1.33,Male,Urban,26-35,174.06
D00224,17,5.015,248,64538.08,88.43,82.03,Digital,-1.2699999999999996,Male,Rural,36-45,177.0
D00225,9,4.555,165,80841.01,99.05,93.5,Cash,3.24,Male,Rural,18-25,169.57
D00226,2,4.9399999999999995,450,64161.71,96.25,61.01,Cash,4.48,Other,Semi-Urban,46-60,181.13
D00227,6,4.94,313,80008.67,82.91,70.82,Mixed,4.37,Female,Semi-Urban,46-60,179.08
D00228,15,4.925,183,56165.88,82.37,70.88,Cash,-3.64,Female,Urban,36-45,167.47
D00229,15,4.955,134,72046.7,90.77,87.02,Cash,-0.20999999999999996,Male,Semi-Urban,36-45,173.92
D00230,19,4.784999999999999,275,39000.0,89.73,61.87,Digital,-8.53,Female,Urban,46-60,163.11
D00231,16,5.4,52,63805.8,90.06,87.62,Digital,-3.0199999999999996,Male,Rural,36-45,179.68
D00232,1,4.845000000000001,429,50180.63,87.78,79.56,Digital,6.15,Male,Urban,36-45,175.93
D00233,0,4.46,80,90616.87,92.49,80.96,Cash,3.73,Female,Rural,18-25,163.37
D00234,15,4.805,471,64456.66,84.93,64.17,Mixed,-1.8399999999999999,Female,Urban,36-45,177.44
D00235,11,4.615,370,62716.74,85.55,85.65,Digital,0.8799999999999999,Male,Semi-Urban,36-45,171.53
D00236,4,4.4799999999999995,265,39668.54,89.52,81.92,Cash,1.7999999999999998,Female,Semi-Urban,26-35,158.23
D00237,4,4.699999999999999,499,54747.42,89.08,82.85,Mixed,3.2699999999999996,Male,Urban,18-25,176.94
D00238,8,4.02,99,83424.23,87.99,76.14,Digital,0.9800000000000004,Male,Rural,36-45,149.94
D00239,8,4.6000000000000005,65,58253.52,83.88,77.35,Digital,2.9800000000000004,Female,Semi-Urban,36-45,156.35
D00240,2,4.5,338,60169.97,93.37,77.17,Mixed,1.2799999999999998,Female,Semi-Urban,46-60,166.64
D00241,18,4.95,431,72465.62,92.07,79.98,Mixed,-4.57,Male,Semi-Urban,46-60,184.91
D00242,15,4.945,69,40628.7,91.02,77.23,Digital,-1.4800000000000004,Male,Urban,36-45,161.78
D00243,15,4.885,429,71961.05,94.91,84.53,Digital,-2.8200000000000003,Male,Semi-Urban,18-25,184.19
D00244,2,4.71,469,47211.87,97.97,92.21,Digital,2.79,Male,Urban,36-45,176.84
D00245,19,4.925,301,78043.51000000001,89.06,78.64,Cash,-4.81,Female,Urban,26-35,179.83
D00246,0,4.9,438,38174.42,90.7,98.57,Digital,0.84,Male,Urban,36-45,177.95
D00247,19,5.234999999999999,323,61696.93,93.1,73.23,Mixed,-6.42,Female,Urban,46-60,184.17
D00248,10,5.25,300,78873.55,89.97,99.59,Digital,-2.93,Female,Urban,36-45,191.4
D00249,16,5.180000000000001,375,57908.36,88.83,62.1,Cash,-1.2699999999999996,Female,Urban,36-45,181.62
D00250,7,4.375,153,62091.03,87.47,67.31,Cash,-1.37,Male,Rural,36-45,154.23
D00251,3,4.515000000000001,356,56152.35,93.01,99.4,Digital,4.6,Male,Urban,18-25,170.01
D00252,5,4.425,394,73120.59,80.45,85.8,Cash,4.2,Female,Rural,26-35,169.6
D00253,7,4.675,223,54735.28,85.71,84.77,Digital,0.25,Male,Rural,46-60,165.05
D00254,19,5.415,96,80926.83,92.38,71.8,Digital,-9.13,Male,Rural,36-45,184.07
D00255,2,4.42,308,60703.68,97.47,68.49,Mixed,1.8900000000000001,Male,Semi-Urban,46-60,162.89
D00256,15,4.645,122,62341.49,95.0,78.79,Digital,-3.49,Female,Urban,36-45,162.66
D00257,2,4.76,246,71468.11,78.29,85.48,Cash,1.02,Male,Semi-Urban,36-45,171.27
D00258,17,4.595,57,69043.70999999999,96.46,82.51,Cash,-4.98,Male,Urban,46-60,161.26
D00259,13,4.4750000000000005,444,78011.94,87.28,68.58,Digital,-4.49,Female,Rural,46-60,172.52
D00260,17,5.075,177,55689.5,90.28,89.05,Cash,-1.8200000000000003,Male,Urban,46-60,174.78
D00261,1,3.8049999999999997,247,79247.65,85.35,89.99,Digital,4.26,Female,Rural,36-45,151.12
